Namuna,Qatlam (sm),Mexanik tarkib,DNS (%),Tuproq zichligi (g/cm³),pH,EC (mS/cm),N (mg/kg),P (mg/kg),K (mg/kg),Gumus (%),Mg (mg/kg),S (mg/kg),Zn (mg/kg),Mn (mg/kg),B (mg/kg),Fe (mg/kg),Cu (mg/kg),Mikroorganizmlar(CFU/g),Ekin
NMNX-133,0-20 sm,Loy,22.5469484430018,1.143418,6.38091194768016,1.8773,32.21,15.5509417070072,242.06240449994,1.73,368.65,64.22,2.13,7.4,2.98,91.32,0.42,307887329,Bug'doy
NTXM-142,,Loy,23.0688944681236,1.1244,7.39746176033684,1.36698,42.17,15.4302149632227,208.379267918801,,,61.93,3.55,6.67,1.74,60.04,,659116321.75,Makkajo'xori
NMNT-135,0-20 sm,Gill,28.5439825383915,2.095,7.1794620903755,0.510969529891956,32.81,16.9545242195445,283.126142927891,1.94,351.65,36.19,1.79,8.6,,61.24,0.55,396226636.41,
NTXM-143,0-20 sm,,28.8952939280776,2.07,,1.49047270380082,46.08,17.0378386715776,273.806529688909,2.34,392.68,43.05,2.35,8.17,2.41,19.54,1.06,650915213.95,Bug'doy
NMNX-135,0-20 sm,Gill,25.8778227152154,2.045,6.39489415327253,0.485089321177263,12.65,17.7113201195889,254.574154211235,1.69,314.03,,1.24,6.43,1.19,25.84,0.34,830073484.84,Sabzi
,20-40 sm,Loy,20.034775619415,2.02,6.17393564984489,2.30697929856216,38.03,15.8540301731287,155.15762154527,1.41,349.95,61.91,1.96,8.17,0.8,69.25,0.59,1822676191.29,Bug'doy
NMNX-14,0-20 sm,Qum,31.2963556972772,1.995,6.63805628075678,0.294027425597502,28,25.6326292932586,234.841079543095,1.9,309.13,67.65,2.56,8.32,2.89,108,1.06,3057378892.09,Bug'doy
NTTM-106,20-40 sm,Gill,38.7931993323605,1.97,6.04132071284786,0.396212408855834,21.44,20.1379982054109,254.477402066432,1.16,280.85,65.82,3.98,8,,97,0.98,411827518.99,Bug'doy
NMNX-15,0-20 sm,Gill,34.0245504944611,1.945,7.23982987989767,1.51267398028002,57.82,15.2271641447789,174.246803792264,1.05,388.34,41.8,3.37,8.48,1.76,62.14,0.68,1063462517.17,Bug'doy
NMNX-136,0-20 sm,Gill,36.7257987115722,1.92,7.01327856113021,0.55348890789763,36.75,15.6593819380214,299.807473889774,0.89,348.78,52.94,3.27,7.8,2.48,22.42,0.72,56333032.34,Bug'doy
NMNX-137,0-30,Loyqa,34.4433139078091,1.895,6.12986555988014,0.376120657780656,42.81,28.1910120709742,223.442693904954,2.01,349.67,35.05,3.21,7.99,1.29,45.4,0.47,1462955360.08,Kartoshka
NTXM-146,0-20 sm,Loyqa,21.2192758395875,1.87,6.54960494966375,0.498749464507989,58.94,28.0758793677741,172.001546403661,0.92,,55.48,3.6,7.58,2.18,87.45,0.68,1757643840.86,Kartoshka
NTTM-107,0-20 sm,Loyqa,26.5766896747176,1.845,7.23478905292532,0.488288008391387,38.82,22.3055709016026,231.947025353356,2.02,382.76,469.31,2.1,7.86,,62.96,0.7,525777027.61,
NMNX-137,0-20 sm,Loyqa,33.683667549852,1.82,6.18924591459233,0.367645755006957,72.8,15.7394172872665,210.484166909037,1.49,406.23,448.35,1.5,9.75,1.87,19.76,0.74,1787403719.78,Kartoshka
,0-20 sm,Gill,36.9977021368048,1.795,6.85664541611597,0.300746785234217,16.68,24.5852583263544,269.502807931465,0.81,274.53,437.27,2.51,6.55,2.08,13.81,0.59,672566536.1,Kartoshka
,0-20 sm,Qum,39.8311813231948,1.77,6.96684536039899,0.245140307041214,43.03,16.0824316129478,156.948038890248,1.73,403.58,379.64,1.87,6.2,1.99,19.61,0.93,554719975.18,Loviya
NTXM-147,20-40 sm,Gill,29.6875162110515,1.745,6.2743013772958,0.344478448078064,32.92,25.0367412662358,174.064690613421,0.82,327.9,444.03,1.29,9.95,1.47,12.29,0.83,2929507587.65,Kartoshka
NMNT-139,0-20 sm,Loy,23.6353154920634,1.72,6.24159182977703,0.538074310128364,34.05,24.6124877120406,203.277455940663,1.75,332.2,428.32,1.62,8.7,1.77,15.21,0.82,633195480.86,Loviya
NTTM-108,0-20 sm,Gill,36.9731794340224,1.695,7.21528657603989,0.379415415379135,33.95,29.9102894089999,272.366942859028,1.94,,392.51,1.31,7.3,2.62,25.05,0.51,978990984.32,Kartoshka
NMNT-140,20-40 sm,Qum,37.207201395783,1.67,6.76656362045468,0.427099407887508,36.41,26.2865330747773,153.66233510685,1.58,287.84,428.86,3.26,6.68,2.62,39.11,1.19,2467136767.13,Loviya
NMNX-139,0-20 sm,Qum,34.3488038287055,1.645,7.41912806681509,0.58853086047851,22.41,19.5975400052306,206.337365343097,1.68,279.56,419.22,2.19,9.53,1.56,21.08,0.74,388569848.15,Kartoshka
