Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),N (mg/kg),P (mg/kg),K (mg/kg),Mg (mg/kg),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
NMNX-133,0-20 sm,Loy,7.89,1.73,4.81,1.61,13.27,32.21,17.96,392.99,368.65,64.22,8.84,2.13,7.4,0.42,2.98,Bug'doy
NTXM-142,,Loy,8.39,,3.66,1.46,21.99,42.17,24.41,391.23,,61.93,8.07,3.55,6.67,,1.74,Bug'doy
NMNT-135,0-20 sm,Gill,7.87,1.94,1.97,1.46,,32.81,,348.25,351.65,36.19,9.57,1.79,8.6,0.55,1.26,Bug'doy
NTXM-143,0-20 sm,Qum,7.11,2.34,2.66,1.44,28.3,46.08,25.71,,392.68,43.05,11.26,2.35,8.17,1.06,2.41,
NMNX-135,0-20 sm,Gill,8.9,1.69,4.95,1.62,11.71,12.65,9.2,339.2,314.03,,6.48,1.24,6.43,0.34,1.19,Bug'doy
,20-40 sm,Loy,,1.41,3.38,1.59,24.11,38.03,21.84,390.46,349.95,61.91,7.51,1.96,8.17,0.59,0.8,Bug'doy
NMNX-14,0-20 sm,Qum,6.67,1.9,4.12,,15.91,28,14.38,331.61,309.13,67.65,12.57,2.56,8.32,1.06,2.89,Bug'doy
NTTM-106,20-40 sm,Gill,6.67,1.16,4.52,1.64,13.75,21.44,12.81,,280.85,65.82,10.26,3.98,8,0.98,,Bug'doy
NMNX-15,0-20 sm,Gill,7.47,1.05,1.82,1.45,26.36,57.82,32.19,,388.34,41.8,12.89,3.37,8.48,0.68,1.76,Bug'doy
NMNX-136,0-20 sm,Gill,7.48,0.89,2.83,1.59,21.4,36.75,19.4,,348.78,52.94,8.72,3.27,7.8,0.72,2.48,Bug'doy
NMNX-137,0-30,Gill,8.69,2.01,1.26,1.35,24.99,42.81,23.77,,349.67,35.05,9.85,3.21,7.99,0.47,1.29,Bug'doy
NTXM-146,0-20 sm,Loy,7.99,0.92,3.11,1.42,27.01,58.94,30.63,,,55.48,,3.6,7.58,0.68,2.18,Bug'doy
NTTM-107,0-20 sm,Gill,7.66,2.02,1.98,1.55,20.6,38.82,21.33,396.78,382.76,469.31,10.01,2.1,7.86,0.7,,Bug'doy
NMNX-137,0-20 sm,Qum,7.84,1.49,2.04,1.57,27.83,72.8,36.93,451.49,406.23,448.35,9.6,1.5,9.75,0.74,1.87,Bug'doy
,0-20 sm,Gill,8.11,0.81,4.94,1.65,14.89,16.68,11.57,324.4,274.53,437.27,8.6,2.51,6.55,0.59,2.08,Bug'doy
,0-20 sm,Qum,6.85,1.73,1.04,1.51,23.23,43.03,21.82,407.72,403.58,379.64,10.73,1.87,6.2,0.93,1.99,Bug'doy
NTXM-147,20-40 sm,Gill,7.19,0.82,2.6,1.61,17.22,32.92,19.89,319.7,327.9,444.03,11.37,1.29,9.95,0.83,1.47,Bug'doy
NMNT-139,0-20 sm,Loy,6.97,1.75,2.65,1.48,13.27,34.05,18.63,355.53,332.2,428.32,10.58,1.62,8.7,0.82,1.77,Bug'doy
NTTM-108,0-20 sm,Gill,8.25,1.94,4.64,1.46,21.99,33.95,19.12,369.9,,392.51,7.54,1.31,7.3,0.51,2.62,Bug'doy
NMNT-140,20-40 sm,Qum,6.17,1.58,,1.63,26.45,36.41,18.81,311.45,287.84,428.86,11.93,3.26,6.68,1.19,2.62,Bug'doy
NMNX-139,0-20 sm,Qum,7.39,1.68,0.84,1.61,26.36,22.41,15.52,298.45,279.56,419.22,8.65,2.19,9.53,0.74,1.56,Bug'doy
NMNX-140,0-20 sm,Gill,7.64,1.45,2.78,1.37,24.99,48.79,27.42,386.45,385.04,401.55,11.28,1.65,8.15,0.7,2.53,Bug'doy
NTXM-149,20-40 sm,Qum,8.64,2.13,4.88,1.65,27.01,13.83,9.66,338.21,322.09,457.09,7.46,3.73,9.16,0.47,1.5,
NMNT-141,0-20 sm,Loy,6.66,2,0.81,1.39,20.6,60.59,32.23,429.51,404.43,418.15,13.12,0.83,8.17,0.89,2.41,Bug'doy
NMNX-19,0-20 sm,Loy,8.46,1.57,4.7,1.57,14.89,24.14,14.17,327.96,297.47,398.38,6.28,1.83,7.71,0.64,1.52,Bug'doy
NMNX-140,0-30,Gill,8.29,1.79,4.95,1.61,23.23,18.25,13.42,335.84,308.81,477.77,7.35,1.59,8.69,0.89,0.94,Bug'doy
NTXM-149,0-20 sm,Yengil qum,7.86,1.45,1.79,1.4,17.22,53.62,29.47,401.67,386.33,378.85,11.16,1.93,9.08,0.69,1.48,Bug'doy
TSPD-1998,0-30,Gill,8.42,0.59,4.82,1.64,17.01,13.71,10.51,299.57,281.52,423.44,6.61,2.71,8.14,0.33,1.44,Bug'doy
Karta-109,0-20 sm,Loy,6.42,1.53,1.2,1.48,21.8,,36.47,382.83,349.45,434.22,14.69,3.51,9.65,0.96,1.77,Bug'doy
NTTM-111,0-20 sm,Yengil qum,8.98,1.94,,1.63,17.37,16.38,12.08,303.79,302.02,406.81,6.48,3.82,,0.19,1.32,Bug'doy
NMNX-382,0-30,Gill,8.93,0.81,4.09,1.62,27.33,12.32,11.73,347.21,343.08,415.93,5.78,3.26,6.76,0.26,2.95,Bug'doy
NTXM-150,0-20 sm,Yengil qum,6.52,2.16,3.53,1.62,13.52,24.49,12.62,340.3,294.12,388.29,10.67,3.2,7.88,1.05,1.16,Bug'doy
TSPD-1999,0-20 sm,Yengil qum,7.84,0.56,4.33,1.63,28.86,30.17,17.78,339.6,347.6,361.92,9.91,3.91,5.93,0.72,2.26,Bug'doy
Karta-110,0-20 sm,Yengil qum,8.96,0.73,4.86,1.5,,26.36,19.08,390.84,351.74,416.8,6.4,3.7,6.99,0.3,1.48,Bug'doy
NTTM-112,0-20 sm,Loy,7.24,1.4,3.61,1.61,12.45,48.67,27.05,401.48,372.22,410.2,10.74,3.39,6.14,0.9,1.03,Bug'doy
NTXM-151,0-20 sm,Yengil qum,8.63,1.29,2.29,1.24,29.72,47.01,26.55,399.2,382.96,412.96,10.28,1.45,9.38,0.3,,Bug'doy
TSPD-2000,20-40 sm,Loy,6.9,1.84,1.18,1.44,16.23,60.28,33.07,417.48,399.38,450.71,11.95,2.37,6.39,1.02,1.88,Bug'doy
NMNX-745,0-20 sm,Loy,8.96,1.02,4.84,1.57,17.46,42.33,24.81,344.42,314.89,396.86,8.29,2.87,9.64,0.15,1.62,Bug'doy
TSPD-2001,0-30,Gill,8.99,0.65,3.44,1.54,27.13,28,16.96,357.51,347.97,398.64,8.01,2.22,10.15,0.29,2.02,Bug'doy
Karta-112,0-20 sm,Yengil qum,8.6,1.31,2.33,1.38,28.78,44.11,25.82,426.57,387.31,427.27,8.24,2.02,8.36,0.41,1.16,Bug'doy
NTTM-114,0-20 sm,Loy,8.72,1.22,4.93,1.65,21.34,15.5,11.32,374.26,347.51,451.42,7.63,2.55,9.03,0.42,1.12,Bug'doy
NMNX-987,0-30,Gill,8.33,0.49,4.07,1.52,14.77,58.34,33.4,398.47,369.11,361.35,10.69,0.92,8.86,0.52,1.43,Bug'doy
NMNX-1108,0-20 sm,Yengil qum,8.19,0.9,4.46,1.46,27,33.12,19.42,338.99,335.61,406.52,7.83,1.21,8.72,,1.55,Bug'doy
TSPD-2002,0-20 sm,Loy,7.18,,4.75,1.64,26.04,18.31,10.85,317.11,288.9,388.99,9,3.9,8.69,0.94,1.04,Bug'doy
NTTM-115,0-20 sm,Yengil qum,7.11,1.2,2.43,1.44,14.76,40.09,21.31,388.98,367.49,409.43,11.22,3.72,7.73,1.05,2.21,Bug'doy
NMNX-1229,0-30,Gill,7.61,1.98,2.27,1.28,24.36,52.4,25.93,388.06,362.51,427.92,10.9,1.82,9.1,0.7,1.4,Bug'doy
NMNX-134,0-20 sm,Yengil qum,7.41,1.37,1.85,1.51,27.74,66.41,33.13,432.14,360.99,412.32,9.87,0.58,10.25,0.83,0.6,Bug'doy
NMNX-135,20-40 sm,Gill,6.9,1.72,2.55,1.63,14.19,24.39,15.88,334.41,301.02,422.32,11.57,0.93,7.74,0.91,1.83,Bug'doy
NTTM-105,0-20 sm,Loy,6.27,1.04,4.86,1.62,28.71,33.82,17.19,351.17,350.46,370.38,12.48,2.67,8.19,1.1,2.39,Bug'doy
NMNX-255,0-20 sm,Loy,8.56,1.13,4.27,1.51,23.45,20.18,13.74,343.93,326.57,387.42,6.77,3.81,8.28,0.36,0.83,Bug'doy
,0-30,Gill,7,,2.78,1.49,21.71,58.69,29.63,424.68,399.88,361.46,10.33,0.63,6.97,0.91,1.38,Bug'doy
NTTM-106,0-20 sm,Loy,7.72,1.81,3.34,1.44,28.35,43.75,23.12,376,310.68,411.36,8.77,,9.53,0.68,0.9,
NTXM-145,0-20 sm,Yengil qum,7.61,1.03,1.33,1.52,17.61,50.46,27.87,370.72,331.57,420.94,,0.56,8.49,0.85,,Bug'doy
NMNX-137,0-20 sm,Yengil qum,8.74,2.27,4.17,1.51,13.17,31.66,18.72,334.57,333.62,416.28,8.23,2.44,9.5,0.37,2.41,Bug'doy
NTXM-146,0-20 sm,Yengil qum,7.69,1.03,2.85,1.58,16.01,35.34,17.95,364.69,353.21,384.63,6.87,3.42,5.99,0.64,1.32,Bug'doy
NTTM-107,0-30,Gill,8.84,1.72,2.45,1.39,23.45,59.45,31.2,404.09,384.59,,9.36,1.7,9.09,0.22,1.55,Bug'doy
NMNX-257,0-20 sm,Yengil qum,7.57,1.92,3.3,1.51,25.06,31.45,19.36,384.16,362.04,467.07,10.36,2.03,9.04,0.78,1.78,Bug'doy
NMNX-378,20-40 sm,Gill,6.57,1.03,0.87,1.34,26.19,58.32,29.46,388.24,379.46,393.44,12.25,3.49,8.36,0.95,2.05,Bug'doy
NTXM-146,0-30,Gill,8.82,0.77,2.9,1.26,25.81,31.44,16.92,372.69,379.29,359.57,7.38,2.01,8.41,0.53,1.33,Bug'doy
NTXM-147,0-20 sm,Yengil qum,8.25,1.56,4.5,1.43,19.3,21.93,15.51,347.79,336.72,407.33,6.87,3.21,10.52,0.72,1.02,Bug'doy
NMNT-139,0-30,Gill,8.64,1.67,4.44,1.47,28.86,33.04,18.7,326.16,318.74,417.5,7.79,1.08,7.61,0.32,2.18,
NTTM-108,0-20 sm,Loy,8,1.67,4.79,1.56,23.75,15.72,12.9,317.09,297.98,414.28,8.54,2.3,6.8,0.62,1,Bug'doy
,0-20 sm,Yengil qum,8.8,0.34,4.83,1.65,25.67,18.64,14.26,342.95,321.6,389.51,,1.38,,0.33,2.06,Bug'doy
NTXM-147,0-30,Gill,7.34,,4.17,1.58,17.22,54.77,28.21,464.46,409.47,376.04,10.22,2.8,,0.69,2.55,Bug'doy
NTXM-148,0-20 sm,Yengil qum,7.69,1.08,1.84,1.4,17.06,49.24,26.2,366.25,,444.06,8.42,2.13,5.71,0.72,1.38,Bug'doy
NTTM-109,20-40 sm,Yengil qum,6.24,1.61,0.93,1.49,19.22,48.22,25.75,370.31,334.53,428.93,11.38,0.96,9.49,1.14,1.33,Bug'doy
NMNX-259,0-20 sm,Yengil qum,6.95,0.72,1.04,1.32,18.83,60.17,31.42,386.65,347.16,431.07,11.6,2.36,7.3,1.16,2.56,Bug'doy
NMNX-380,0-20 sm,Loy,7.5,1.12,4.06,1.49,23.12,47.75,27.56,410.97,381.85,,11.95,2.53,10.71,0.58,1.35,Bug'doy
NTXM-148,0-20 sm,Yengil qum,7.46,0.41,3.07,1.51,23.76,59.87,30.11,432.58,402.58,447.8,9.86,1.49,,0.82,2.28,Bug'doy
NMNX-140,0-20 sm,Yengil qum,8.79,1.19,4.22,1.59,14.04,33.08,19.78,379.09,331.42,451.56,7.72,1.23,,0.36,1.79,Bug'doy
NTTM-110,20-40 sm,Loy,7.31,0.61,2.54,1.46,10.33,55.37,28.57,379.01,345.59,439.79,11.11,2.12,9.11,0.79,1.89,Bug'doy
NMNX-260,0-30,Gill,7.53,0.79,2.63,1.51,22.8,36.97,24,368.82,367.04,468.64,10.48,0.5,9.89,0.7,1.02,Bug'doy
NMNX-381,0-20 sm,Loy,8,0.79,4.54,1.48,19.88,42.25,21.19,366.04,330.74,419.83,7.99,2.48,9.4,0.6,3,Bug'doy
NTXM-149,0-20 sm,Yengil qum,8.39,0.96,2.9,1.32,27.18,39.91,24.15,379.88,389.44,437.95,8.09,1.4,9.05,0.59,1.1,Bug'doy
NMNX-141,0-20 sm,Loy,7.82,1.53,4.08,1.61,28.28,34,20.29,347.3,,421.83,9.47,0.77,6.58,,2.03,Bug'doy
