Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),Azot (mg/kg),Fosfor (mg/kg),Kaliy (mg/kg),Mg (mg/kg),Mikroorganizmlar (CFU/g),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
NMNX-133,0-20 sm,Loy,7.46,1.73,0.62,0.7,13.27,138,8.6,560,368.65,307887329,5.9,0.31,0.24,8.71,0.77,0.11,Bug'doy
NTXM-142,,Loy,7.62,,0.75,1.06,21.99,213,7.5,338,,659116321.75,25.4,0.86,0.3,2.89,1.54,2.29,Bug'doy
NMNX-134,0-30,Qum,7.59,1.41,0.51,1.11,42.05,163,9.6,718,,2957632138.19,14.3,0.86,0.3,2.7,1.57,2.03,Makkajo'xori
NTXM-143,0-20 sm,Qum,7.64,1.32,0.58,0.94,39.76,157,6.8,475,397.22,2534143521.82,26,0.54,0.34,2.65,1.53,1.82,Makkajo'xori
NMNT-135,0-20 sm,Gill,7.63,1.94,0.4,0.86,,270,9.9,444,351.65,396226636.41,11.8,0.76,0.25,2.43,1.69,2.26,Bug'doy
NTTM-104,0-30,Qum,7.43,,0.65,0.72,38.05,220,8.6,444,410.89,1964381722.42,11.7,0.66,0.37,2.19,0.9,1.82,Makkajo'xori
,20-40 sm,,7.62,0.49,0.43,0.81,39.64,220,7.2,222,486.65,2941556334.77,7.4,0.69,0.34,2,1.05,1.88,Makkajo'xori
NMNX-134,0-30,Qumoq,7.63,0.87,0.59,0.69,,207,7,401,,998554753.32,7.6,0.68,0.32,2.43,0.62,1.68,Makkajo'xori
NTXM-143,0-20 sm,Qum,7.58,2.34,0.44,0.67,28.3,289,8.6,560,392.68,650915213.95,7.3,0.66,0.63,2.43,0.94,1.79,Bug'doy
NMNX-135,0-20 sm,Gill,7.55,1.69,0.33,0.78,11.71,138,8.1,739,314.03,830073484.84,9,0.41,0.69,2.75,1.15,2,Bug'doy
NTXM-144,0-20 sm,,7.59,0.9,0.45,0.97,34.36,151,8.1,549,413.81,1000605821.7,9.6,0.38,0.71,2.79,1.33,2.41,Makkajo'xori
NMNT-136,0-30,Qum,7.53,1.55,0.73,0.89,26.51,144,7.2,306,399.11,2323084192.41,9.2,0.47,0.63,2.79,1.03,2.38,Makkajo'xori
,20-40 sm,Loy,7.68,1.41,0.6,0.78,24.11,138,5.3,444,349.95,1822676191.29,9.7,0.36,0.73,3.32,1.32,2.12,Bug'doy
NMNX-14,0-20 sm,Qum,7.45,1.9,0.53,0.81,15.91,144,8.3,549,309.13,3057378892.09,10.2,0.56,0.51,2.9,1.26,2.29,Bug'doy
NMNX-135,20-40 sm,Gill,7.39,1.45,0.77,0.72,26.45,201,7.7,676,326.82,2368506939.52,9.7,0.47,0.58,3.77,1.02,2.56,Makkajo'xori
NTXM-144,0-30,Loy,7.47,0.57,0.34,0.67,36.89,182,9.2,718,442.03,1151913308.92,10.6,0.41,0.77,3.04,1.28,2.79,Makkajo'xori
NMNX-136,0-20 sm,Qumoq,7.38,1.23,0.88,0.75,45.59,238,7.5,771,473.42,96305679.48,11,0.38,0.46,2.96,1.16,1.32,Makkajo'xori
NTXM-145,20-40 sm,Qum,7.45,1.31,0.55,0.67,33.01,270,8.1,655,372.6,126341574.79,10.2,0.44,0.28,7.75,1.26,2.56,Makkajo'xori
,0-30,Gill,7.38,1.16,0.78,0.61,25.6,213,6.1,803,411.96,1819875344.16,10.5,0.49,0.3,7.74,0.66,1.85,Makkajo'xori
