Namuna,Qatlam (sm),Mexanik tarkib,DNS (%),Tuproq zichligi (g/cm³),pH,EC (mS/cm),N (mg/kg),P (mg/kg),K (mg/kg),Gumus (%),Mg (mg/kg),S (mg/kg),Zn (mg/kg),Mn (mg/kg),B (mg/kg),Fe (mg/kg),Cu (mg/kg),Mikroorganizmlar(CFU/g),Ekin
NMNX-133,0-20 sm,Loy,22.5469484430018,21.915338675851,6.38091194768016,0.472793022477242,32.21,15.5509417070072,242.06240449994,1.73,368.65,64.22,2.13,7.4,2.98,91.32,0.42,307887329,Bug'doy
NTXM-142,,Loy,23.0688944681236,24.6580257179703,7.39746176033684,0.443785407775398,42.17,15.4302149632227,208.379267918801,,,61.93,3.55,6.67,1.74,60.04,,659116321.75,Bug'doy
NMNT-135,0-20 sm,Gill,28.5439825383915,18.1199254378309,7.1794620903755,0.510969529891956,32.81,16.9545242195445,283.126142927891,1.94,351.65,36.19,1.79,8.6,1.26,61.24,0.55,396226636.41,Bug'doy
NTXM-143,0-20 sm,Qum,28.8952939280776,17.0946718786639,6.92686939453839,0.490472703800821,46.08,17.0378386715776,273.806529688909,2.34,392.68,43.05,2.35,8.17,2.41,19.54,1.06,650915213.95,Bug'doy
NMNX-135,0-20 sm,Gill,25.8778227152154,28.1222364090719,6.39489415327253,0.485089321177263,12.65,17.7113201195889,254.574154211235,1.69,314.03,,1.24,6.43,1.19,25.84,0.34,830073484.84,Bug'doy
,20-40 sm,Loy,20.034775619415,19.8198790116603,6.17393564984489,0.306979298562169,38.03,15.8540301731287,155.15762154527,1.41,349.95,61.91,1.96,8.17,0.8,69.25,0.59,1822676191.29,Bug'doy
NMNX-14,0-20 sm,Qum,31.2963556972772,23.5143245628867,6.63805628075678,0.294027425597502,28,25.6326292932586,234.841079543095,1.9,309.13,67.65,2.56,8.32,2.89,108.00,1.06,3057378892.09,Bug'doy
NTTM-106,20-40 sm,Gill,38.7931993323605,24.8145965679533,6.04132071284786,0.396212408855834,21.44,20.1379982054109,254.477402066432,1.16,280.85,65.82,3.98,8,,97.00,0.98,411827518.99,Bug'doy
NMNX-15,0-20 sm,Gill,34.0245504944611,26.905730521618,7.23982987989767,0.512673980280028,57.82,15.2271641447789,174.246803792264,1.05,388.34,41.8,3.37,8.48,1.76,62.14,0.68,1063462517.17,Bug'doy
NMNX-136,0-20 sm,Gill,36.7257987115722,15.2713875717454,7.01327856113021,0.55348890789763,36.75,15.6593819380214,299.807473889774,0.89,348.78,52.94,3.27,7.8,2.48,22.42,0.72,56333032.34,Bug'doy
NMNX-137,0-30,Loyqa,34.4433139078091,23.7827326332221,6.12986555988014,0.376120657780656,42.81,28.1910120709742,223.442693904954,2.01,349.67,35.05,3.21,7.99,1.29,45.40,0.47,1462955360.08,Kartoshka
NTXM-146,0-20 sm,Loyqa,21.2192758395875,26.3968635129159,6.54960494966375,0.498749464507989,58.94,28.0758793677741,172.001546403661,0.92,,55.48,3.6,7.58,2.18,87.45,0.68,1757643840.86,Kartoshka
