"Sample","Layer (cm)","Mechanical Composition","FC (%)","Soil Density (g/cm³)","pH","Soil EC (mS/cm)","Nitrogen (mg/kg)","Phosphorus (mg/kg)","Potassium (mg/kg)","Humus (%)","Mg (mg/kg)","S (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","B (mg/kg)","Fe (mg/kg)","Cu (mg/kg)","Microorganisms (CFU/g)","crop"
"NMNX-133","0-20 sm","Loy","22.546948443002","21.915338675851","6.3809119476802","0.47279302247724","32.21","15.550941707007","242.06240449994","1.73","368.65","64.22","2.13","7.4","2.98","91.32","0.42","307887329","Bug'doy"
"NTXM-142","","Loy","23.068894468124","24.65802571797","7.3974617603368","0.4437854077754","42.17","15.430214963223","208.3792679188","","","61.93","3.55","6.67","1.74","60.04","","659116321.75","Bug'doy"
"NMNT-135","0-20 sm","Gill","28.543982538392","18.119925437831","7.1794620903755","0.51096952989196","32.81","16.954524219544","283.12614292789","1.94","351.65","36.19","1.79","8.6","1.26","61.24","0.55","396226636.41","Bug'doy"
"NTXM-143","0-20 sm","Qum","28.895293928078","17.094671878664","6.9268693945384","0.49047270380082","46.08","17.037838671578","273.80652968891","2.34","392.68","43.05","2.35","8.17","2.41","19.54","1.06","650915213.95","Bug'doy"
"NMNX-135","0-20 sm","Gill","25.877822715215","28.122236409072","6.3948941532725","0.48508932117726","12.65","17.711320119589","254.57415421123","1.69","314.03","","1.24","6.43","1.19","25.84","0.34","830073484.84","Bug'doy"
"","20-40 sm","Loy","20.034775619415","19.81987901166","6.1739356498449","0.30697929856217","38.03","15.854030173129","155.15762154527","1.41","349.95","61.91","1.96","8.17","0.8","69.25","0.59","1822676191.29","Bug'doy"
"NMNX-14","0-20 sm","Qum","31.296355697277","23.514324562887","6.6380562807568","0.2940274255975","28","25.632629293259","234.84107954309","1.9","309.13","67.65","2.56","8.32","2.89","108.00","1.06","3057378892.09","Bug'doy"
"NTTM-106","20-40 sm","Gill","38.793199332361","24.814596567953","6.0413207128479","0.39621240885583","21.44","20.137998205411","254.47740206643","1.16","280.85","65.82","3.98","8","","97.00","0.98","411827518.99","Bug'doy"
"NMNX-15","0-20 sm","Gill","34.024550494461","26.905730521618","7.2398298798977","0.51267398028003","57.82","15.227164144779","174.24680379226","1.05","388.34","41.8","3.37","8.48","1.76","62.14","0.68","1063462517.17","Bug'doy"
"NMNX-136","0-20 sm","Gill","36.725798711572","15.271387571745","7.0132785611302","0.55348890789763","36.75","15.659381938021","299.80747388977","0.89","348.78","52.94","3.27","7.8","2.48","22.42","0.72","56333032.34","Bug'doy"
