Sample,Layer (sm),Mechanical composition,CF (%),Soil Density (g/cm³),pH,EC (mS/cm),N (mg/kg),P (mg/kg),K (mg/kg),Humus (%),Mg (mg/kg),S (mg/kg),Zn (mg/kg),Mn (mg/kg),B (mg/kg),Fe (mg/kg),Cu (mg/kg),Microorganisms (CFU/g),Crop
,40-60,Loamy,25.712807360744,1.4571130103318,7.9373054488559,2.3140102459158,14.730419081566,8.5225207564982,149.05361361481,0.60816993943477,191.60610710168,14.281693625385,57.778320945345,87.64688249881,0.42098375808305,96.509662190188,12.516340501862,1267278,Wheat
,40-60,Loamy,25.433538246182,1.4646490572402,6.2463068019053,1.8216889779942,82.620025812525,69.432481491758,253.16740991437,2.5935007819422,111.3270855872,20.601439672492,39.687665930607,46.070440555969,1.5403577596525,147.09398368661,11.615279107505,77076271,Corn
,20-40,Clay,23.689498605135,,8.2891658679783,2.0138448674493,14.648041315192,7.2700050213471,115.11041936633,0.46554765918728,155.00934310345,9.0572939616391,21.729273468032,119.84309338134,1.0642960169826,136.16800819477,15.113454549924,418065,
407,0-20,Clay,31.897131152822,,7.0407372031664,1.6583886954181,162.83490942114,73.45815912531,252.18684533194,2.4758624853062,191.84905486351,29.624305087011,42.60722360591,118.27509268973,1.6510260797222,260.48557072194,21.47885800786,56876960,Corn
408,20-40,Sand,26.628374070214,,7.3232677193798,1.5183457978404,120.69509589027,63.034030846726,214.79746317552,2.329035192688,121.49359638089,32.524196699359,59.549806696032,95.15910755549,1.1762108630429,242.88848880189,18.562968175591,11331527,
NTTM-241,40-60,Clay,28.421633391531,1.317331963152,6.9651855563553,1.8893726473491,106.8750073498,58.861916154626,239.44230970935,2.4885693678405,83.391339107477,28.794054249975,40.371494161538,132.19481450967,0.57615109917494,128.03298087149,7.917830181084,5970142,
NMNX-31721,40-60,Clay,29.10414080024,1.4259076102476,7.1688967370779,1.304957365495,122.75908493197,63.686259051657,187.46561262992,1.9924955830974,90.81057239929,20.538689884381,20.728787365629,69.223313131715,,131.86255324136,17.395513864056,29416652,Corn
NMNX-31842,,Clay,30.521555441851,1.3118004361302,6.6775854171939,2.5479460279554,,,115.71712053024,1.2450475379223,140.7138071023,19.297699116164,46.311613408822,127.80152304736,,110.47287518694,18.863773938772,38180921,Cotton
NTXM-280,,Clay,22.734376061925,1.2265358241353,6.8711831011804,1.3860539501925,,,129.92403692374,1.0172764584358,,17.205741515897,3.7922335767761,13.803034646555,,21.885742611992,2.1765618541679,,Carrot
TSPD-2129,,Clay,33.414945446708,1.3408428445662,7.0506772176537,2.7961655439949,,,137.57779117705,1.1632470399016,158.39018416591,17.473292702421,26.853844530897,128.09843563788,,160.15642497855,12.001256339011,43102111,Cotton
Karta-240,,Loamy,25.901019540775,1.2046422128674,7.668514185444,2.0020109387687,24.244199303632,19.261493073955,143.68845095416,1.2177311347162,144.69132885723,16.122604983991,33.821979064067,71.172287478867,,164.46341570188,10.638040656997,77014773,Cotton
NTTM-242,,Sand,22.617927227196,1.6748413663931,7.9359638001024,2.9412332198906,11.53414078057,10.832052918043,83.724779842296,0.69973172808762,82.335415978183,9.7912160747977,16.120939676783,44.793429373685,,53.1403656369,9.7988110502907,14165,Cotton
NMNX-31963,0-20,Clay,32.700323814622,1.1945209116624,7.0729734219561,1.1675589622875,194.17841560056,91.326521611921,246.36495469542,2.3270886393932,120.33867466871,29.144484082137,78.015132805091,120.13821829102,,161.96794709708,14.340722659611,,Corn
NMNX-32084,40-60,Loamy,27.588891161571,1.3660179916612,7.1481419475068,1.6942591791537,104.10548391724,78.28489593332,210.16197164211,2.2799933609761,113.58084608297,15.601225839211,45.080663705675,116.77688642933,,107.98545164585,19.42820566461,7209847,Corn
NTXM-281,20-40,Loamy,19.924811295098,1.3338636568234,6.9294289429476,1.983396746399,114.79193984068,22.553377203513,66.310486379187,0.62730980845437,56.247306540683,7.3313020855476,2.5898307306289,8.7030532316191,,14.213864660725,0.87719195310592,166473,Carrot
TSPD-2130,0-20,Clay,28.003030482799,1.2896545134511,7.3169128111676,1.5199736453237,28.678966628197,18.237881241868,193.24094771998,1.208421008584,184.85363868139,15.780049895358,70.737887971516,229.62302641391,,227.87243003563,19.523335652753,11563626,Wheat
Karta-241,20-40,Sand,26.491779970074,1.3741196987521,7.7896002243286,2.1347075981612,22.469528724659,8.1373973905248,130.81383444815,0.98258726418063,192.55843799138,17.596427061782,41.231817654588,181.65439945398,,194.87748669527,17.914772580322,1002845,Wheat
NTTM-243,20-40,Sand,20.046842300749,1.3815704457083,6.6590144362962,1.6131689834296,138.93276425166,66.048568118584,181.95647335781,2.4180493205051,90.794986254403,15.752577644225,26.974228529892,70.405324665624,,54.187609905464,12.616709786867,,Potato
NMNX-32205,20-40,Silt,19.20548096416,1.3165307242443,6.8723956258881,1.5697288088537,129.63748125578,27.553140494207,63.526354090733,0.86185349877281,60.842359022576,10.47279502321,2.5648295598447,6.5517513596025,,9.5520086617932,1.1538478248321,451712,Carrot
NMNX-32326,20-40,Silt,24.342105633885,1.3209813570219,8.1437504715325,2.5454046555639,,,118.59733692502,1.2818596237545,153.70604149415,10.67729421165,40.667373771554,104.71643500569,,104.67760724616,9.5337023894075,47481034,Cotton
NTXM-282,20-40,Loamy,23.119582070812,1.4363642023447,7.9651968323568,1.6730022806805,,,130.33703352589,,,13.153431144306,,162.2325038041,,143.24570961643,6.5456856761886,28434,Wheat
TSPD-2131,40-60,Loamy,22.09598997076,1.3457645708336,6.4797213245575,1.0745683638005,,,163.47097510621,,,16.973259460417,30.590497425522,117.80904761709,,102.39135750425,14.104494868163,,Potato
Karta-242,0-20,Clay,27.225161107533,1.2673683387685,6.7670912638653,1.5714466233325,,,139.62286967135,,,15.779484569714,38.665220681537,128.25383545744,,172.48833413809,12.716679363183,31848154,Bean
NTTM-244,0-20,Clay,32.991570354904,,6.5701073959892,3.4532343610353,,,112.1333233538,,,17.371067230749,42.358120939656,73.692098343834,,163.23345526521,16.959842935439,33025082,
NMNX-32447,20-40,Loamy,24.791422935412,1.3585324096959,6.397208820147,1.5649873608948,,,201.00621346547,1.2852362040388,125.8665755069,22.925105810289,41.098004445264,55.510916715898,,74.651975366854,8.7585564166931,,Pepper
NMNX-32568,20-40,Clay,27.084630193447,1.2418892259433,6.5675689007382,1.4874883644363,,,229.80896600551,1.343684030638,124.41873901707,14.197603609667,24.461517599381,109.63630640059,,,12.137293869527,2262996,Pepper
NTXM-283,20-40,Loamy,24.50253956163,1.3441797719347,5.9754452493384,1.5086938727085,,,254.25638800828,2.5496669207403,104.14279334691,27.137764498674,39.756672644952,114.36526532768,1.138227587987,85.765654803698,,2249835,Potato
TSPD-2132,,Silt,18.054129203655,1.3519370756441,6.3973638775636,1.6629569753161,,,112.16528057001,0.69338350500848,58.587497227302,17.824934169417,2.22834498322,12.187028257189,0.4564777527707,15.696843291612,2.0358423208291,555204,Carrot
Karta-243,20-40,Clay,30.491726496644,1.389662832218,6.5343970762435,1.8569622684003,160.60083282983,82.452340553552,223.39346555907,2.7240494017161,108.71098784962,23.059033223,60.092467343574,62.139656263765,1.2233316314706,269.35785719394,16.58565386972,,Corn
NTTM-245,20-40,Clay,28.279915606051,1.3292422671612,6.8543025756653,3.0032916173852,19.469935676942,19.817236864326,101.65441460935,0.86332648879011,115.57727335738,11.628641254007,20.811659244161,98.23961419498,0.65420285085341,164.6156066786,8.4569327742769,2625534,Cotton
NMNX-1359,0-20,Loamy,28.651283698704,,6.3721916647569,1.2417041496839,143.5652833876,70.754413851808,275.6570120482,2.9628472962855,163.83352204718,39.028356839632,42.066588129414,173.16855991593,0.86165385750771,100.30677912239,15.58837703028,181280167,Potato
NMNX-264,0-20,Clay,25.785174897213,1.1246602083776,6.2162805535545,1.2899537538966,99.007129206649,64.840610745692,181.41817576191,1.9484294722688,,,37.769064190783,94.67282260067,0.99414367657129,157.03849461241,19.742980492693,15757574,Bean
NTXM-273,20-40,Loamy,27.911005926411,1.2127528268656,5.9404756729476,1.517911045327,143.14493273671,84.165709726584,243.0062214142,3.4097332469416,,,35.087334368376,161.3356575408,1.1214315712248,127.81878381562,7.0983875060478,35365172,Potato
NMNX-265,20-40,Clay,25.86961542383,1.2981086913957,6.5677490245065,1.6438632199007,111.90658270784,64.548706094721,228.01487127736,1.0791260454661,135.09347870129,16.597623123684,43.894396420054,60.96721158596,0.66789741554627,75.620152810295,11.027027680404,54190786,Pepper
NTXM-274,20-40,Loamy,19.798562858234,1.4318544776303,7.0261531481756,2.0520649953826,97.618691414344,66.036180098777,135.60931231543,0.79259839322335,78.181689235504,12.989581739053,32.259889860017,56.132667607392,0.40985979658757,46.018334835819,8.4465645547869,57831,Pepper
NMNT-266,,,28.073330889192,1.1803040085276,6.0136668204473,1.3503145775543,172.22199015352,60.371038941551,223.27149106812,2.3703314313016,176.25506005624,38.361483471761,44.466332460105,150.75577750018,1.4714145776046,279.02431524123,20.37781280941,457163643,Corn
NTTM-235,,,23.351753253284,1.2814297403096,5.9224364329614,1.572637883427,119.80356340078,62.793530113256,219.61705548477,2.5398047441148,177.55487333723,23.478538304907,21.315506321328,170.99997852517,1.2002350573877,104.13077195312,6.8553700249682,3897245,Potato
NMNX-31715,,,29.685377083742,1.3775040132927,,,25.606057167871,19.179297840319,132.81724998193,1.3481819303617,190.93156499079,12.495955159627,28.197496384907,99.147879394663,,199.84568913614,12.407234516596,13266479,Cotton
NMNX-31836,,,22.912820856803,1.4415959787026,,,5.2102137535722,11.38789122935,139.49654164296,0.77430025879728,180.82545753036,12.143603965894,13.17726605005,172.72526537902,0.58347415253282,154.3356630294,11.665520638573,58388,Wheat
NTXM-274,20-40,Clay,22.025680142106,1.5067116771033,6.8784864440286,1.6453318991388,100.90526950145,45.35757023183,151.1365925662,1.1235812635224,71.963033324616,13.065430444072,22.585945550757,59.288731274127,0.4872224435869,84.742417874063,8.6719785878391,191758,Pepper
NMNX-266,20-40,Clay,27.961420892979,1.2322433471847,7.1521138997775,1.682126560674,118.54840480899,56.744391396308,236.97151393096,2.4548339689201,149.43416268364,28.463560453344,52.924472917566,146.0910134848,1.5746793040126,213.15295820187,15.16151826788,218141768,
NTXM-275,0-20,Gill,26.230549084674,1.1555559195506,6.6173041179505,1.2245171209879,197.30692608029,27.467836434224,183.7035666168,1.4765318767994,60.88965103384,20.063609959311,4.005035422413,12.954238918662,0.70421733784803,20.527824571873,1.52679624107,1216116,Carrot
NMNT-267,40-60,Loamy,22.587993434873,1.4501803920959,6.6669821466915,1.3639992236262,107.13102032517,72.044308653817,208.3380669397,1.7206999033261,98.588581461484,18.522244042385,28.619726150028,140.89829943605,0.99311079878002,139.44554327912,13.492150837396,184966,Potato
NTTM-236,40-60,Clay,26.933160964288,1.4152986789616,7.765637717435,2.2731501755735,17.47822214653,6.5041511800808,131.80213430827,,186.20272452167,13.462963289071,51.065856059696,218.89200992351,1.4266596037908,134.22915268909,17.10735730648,605707,Wheat
NMNX-31716,0-20,Clay,28.770909842296,1.2725096565287,6.5046412279947,1.5378461195822,93.806730432771,45.011365358244,137.81888506407,1.6230490094263,183.80356905409,16.382635752756,35.984814608443,85.848250077327,0.77093581960367,149.97876664064,17.341139637159,75545177,Bean
NMNX-31837,20-40,Clay,23.516521772735,1.5674261971676,6.9825409316486,2.0426859376028,74.850428848209,50.3010008225,178.86833583205,1.9063991327836,84.661912452682,24.988028733361,47.380672931412,35.549782530099,0.46487266703987,89.713466200067,6.3065840326354,3695761,Corn
NTXM-275,20-40,Clay,22.219027310978,1.6849030540615,8.658078721718,3.6937030167396,14.496574676708,9.3560505436538,115.96101320276,0.57408003069961,99.58617730469,7.638492266243,17.535321722183,60.042435255188,0.67848717199839,77.407250348299,8.7440884591121,229987,Cotton
NMNX-267,40-60,Sand,23.692223741313,1.4757806698425,6.0711337137368,1.2340526218753,123.6883500167,46.726342416522,237.76178236,2.2970781164921,85.785596406102,18.973039612414,37.94651946519,54.388040704915,1.0829152889315,72.39808192085,11.975876781731,,Potato
NTXM-276,40-60,Loamy,25.94934308144,1.3116099938247,6.0053148175648,1.2355582179635,116.85410597906,73.795372457565,179.75929636786,1.6812565411081,129.57768724096,16.882232415024,20.784089723626,69.171530293855,0.40753337382135,94.430865182515,15.248132170181,6318711,Potato
NMNT-268,0-20,Loamy,22.483844641908,1.031514599358,6.5683577965447,1.1728333026938,161.56049919819,47.510801949705,127.6237472127,1.2004169164342,62.151411338143,25.526866946533,2.7437725198524,16.864702494069,0.94604842656675,18.845935512174,2.5880095904527,1096986,Carrot
NTTM-237,20-40,Loamy,20.211366709563,1.1548268753056,6.5463414482391,1.5884463482768,141.42472612684,38.554200775131,160.1093204562,1.0305237426318,55.537436969264,23.220277414276,4.1211278634903,10.152680652178,0.81173425270313,21.353525179288,1.5523831899251,421078,Carrot
NMNX-31717,0-20,Clay,,1.2640089239285,6.1806876078179,1.7744349062536,170.69478880396,63.31128354114,258.4454504043,2.7824906084457,153.41265446651,26.238712276435,66.895409074462,116.86623472544,1.4534787475503,281.77831341313,12.438008765444,613208065,Corn
NMNX-31838,40-60,Sand,,1.4294525527343,7.6214737714162,2.0376111735531,19.663107995029,5.7139370282613,85.891010762821,0.80400510154968,217.51338235887,11.491661002867,36.942336229487,154.06392813272,1.5012289395337,145.45532453367,14.308133139904,2214536,Wheat
NTXM-276,,Clay,,1.2560282708767,7.1735467799357,1.6083325012192,24.421831876518,17.593445003682,139.51734908577,1.3006890482179,281.86351768642,15.308311299601,45.635250059724,247.71454794603,0.88548575971904,179.55881821529,19.276362398035,91462520,Wheat
NMNX-268,,Loamy,,1.2379487786357,6.3478707500145,1.2400917005003,166.80271349155,86.758563491591,266.05234173319,3.9930419777267,156.47225369158,27.317150709762,32.626484275632,178.48909609436,0.90320710279954,188.88560440874,12.099792634329,396029525,Potato
NTXM-277,,Loamy,,1.3870209290572,7.7270876479766,2.1231003538582,20.273669016847,8.1459836736722,149.24897866335,1.1322101701134,216.0418443392,10.35592102055,39.619545503724,225.94153011306,0.83082499309211,216.16192450436,17.477478853649,5174858,Wheat
