Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),Azot (mg/kg),Fosfor (mg/kg),Kaliy (mg/kg),Mg (mg/kg),Mikroorganizmlar (CFU/g),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
NMNX-133,0-20 sm,Loy,7.89,1.73,4.81,1.61,13.27,32.21,17.96,392.99,368.65,307887329,64.22,8.84,2.13,7.4,0.42,2.98,Bug'doy
NTXM-142,,Loy,8.39,,3.66,1.46,21.99,42.17,24.41,391.23,,659116321.75,61.93,8.07,3.55,6.67,,1.74,Bug'doy
Karta-1/12,0-30,Qum,8.4,1.41,,1.27,42.05,74.76,43.48,501.72,,2957632138.19,53.5,10.34,3.25,8.03,0.53,2.48,Sabzi
NTXM-143,0-20 sm,Qum,,1.32,1.19,,39.76,,42.44,463.18,397.22,2534143521.82,,12.87,3.98,,1.02,2.55,Paxta
soil-sampl/3,0-20 sm,Gill,7.87,1.94,1.97,1.46,,32.81,,348.25,351.65,396226636.41,36.19,9.57,1.79,4.91,0.55,2.28,Bug'doy
NTTM-104,0-30,Qum,6.78,,1.5,1.33,38.05,81.49,41.45,479.42,410.89,1964381722.42,53.22,13.44,2.91,4.79,,1.09,Makkajo'xori
,20-40 sm,,7.66,0.49,0.61,,39.64,86.42,44.46,535.49,486.65,2941556334.77,46.75,,1.45,5.11,0.61,1.09,Makkajo'xori
NMNX-134,0-30,Qumoq,,0.87,1.45,,,74.69,38.4,470.91,,998554753.32,48.69,13.47,3.53,4.8,0.94,1.05,Makkajo'xori
NTXM-143,0-20 sm,Qum,7.11,2.34,2.66,1.44,28.3,46.08,25.71,,392.68,650915213.95,43.05,11.26,2.35,6.85,1.06,1.96,Bug'doy
NMNX-135,0-20 sm,Gill,8.9,1.69,4.95,1.62,11.71,12.65,9.2,339.2,314.03,830073484.84,,6.48,1.24,8.13,0.34,1.83,Bug'doy
NTXM-144,0-20 sm,,7.08,0.9,1.46,,34.36,,37.2,435.57,413.81,1000605821.7,44.16,12.1,3.25,8.56,0.76,1.99,Makkajo'xori
NMNT-136,0-30,Qum,8.29,1.55,1.61,1.33,26.51,43.37,24.5,426.24,399.11,2323084192.41,50.84,10.21,1.01,,0.37,1.35,Makkajo'xori
,20-40 sm,Loy,,1.41,1.14,1.59,24.11,38.03,21.84,390.46,349.95,1822676191.29,61.91,7.51,1.96,5.5,0.59,2.48,Bug'doy
NMNX-14,0-20 sm,Qum,6.67,1.9,1.34,,15.91,28,14.38,331.61,309.13,3057378892.09,67.65,12.57,2.56,5.81,1.06,2.55,Bug'doy
NMNX-135,20-40 sm,Gill,6.68,1.45,1.59,1.52,26.45,53.14,28.94,350.19,326.82,2368506939.52,51.44,11.32,3.24,5.49,1.1,2.28,Makkajo'xori
NTXM-144,0-30,Loy,6.59,0.57,0.66,1.27,36.89,75.35,36.81,368.77,442.03,1151913308.92,48.06,12.34,1.85,5.51,1.06,1.09,Makkajo'xori
NMNX-136,0-20 sm,Qumoq,6.26,1.23,0.62,1.26,45.59,94.29,47.64,387.35,473.42,96305679.48,67.24,12.67,2.55,6.15,1.14,1.09,Makkajo'xori
NTXM-145,20-40 sm,Qum,6.76,1.31,0.77,1.34,33.01,70.79,35.98,405.93,372.6,126341574.79,52.28,11.9,0.52,2.77,0.95,1.05,Makkajo'xori
,0-30,Gill,8.28,1.16,2.28,1.48,25.6,52.5,29.28,424.51,411.96,1819875344.16,48.72,8.73,3.22,2.88,,1.96,Makkajo'xori
NTTM-106,20-40 sm,Gill,6.67,1.16,2.03,1.64,13.75,21.44,12.81,443.09,280.85,411827518.99,65.82,10.26,3.98,3.02,0.98,1.83,Bug'doy
NMNX-15,0-20 sm,Gill,7.47,1.05,2.12,1.45,26.36,57.82,32.19,461.67,388.34,1063462517.17,41.8,12.89,3.37,,0.68,1.99,Bug'doy
NMNX-136,0-20 sm,Gill,7.48,0.89,2.51,1.59,21.4,36.75,19.4,480.25,348.78,56333032.34,52.94,8.72,3.27,2.26,0.72,1.35,Bug'doy
NTXM-145,20-40 sm,Qumoq,6.65,1.23,1.71,1.35,30.24,67.1,33.5,498.83,394.73,1635626544.48,58.64,12.6,2.33,2.23,0.93,1.64,Makkajo'xori
NMNX-137,0-30,Gill,8.69,2.01,1.74,1.35,24.99,42.81,23.77,517.41,349.67,1462955360.08,35.05,9.85,3.21,6.98,0.47,1.55,Bug'doy
NTXM-146,0-20 sm,Loy,7.99,0.92,2.43,1.42,27.01,58.94,30.63,535.99,,1757643840.86,55.48,,3.6,,0.68,1.93,Bug'doy
NMNT-138,20-40 sm,Qumoq,7.73,,1.58,1.47,26.87,56.92,31.79,417.35,386.37,1017761780.23,416.86,9.64,0.7,6.57,0.61,,Paxta
NTTM-107,0-20 sm,Gill,7.66,2.02,1.86,1.55,20.6,38.82,21.33,396.78,382.76,525777027.61,469.31,10.01,2.1,6.18,0.7,2.43,Bug'doy
NMNX-16,0-20 sm,Qumoq,7.21,1.11,1.93,1.4,30.61,65.45,34.88,453.69,401.96,1005151414.58,369.92,10.38,2.12,6.04,0.74,1.58,Makkajo'xori
NMNX-137,0-20 sm,Qum,7.84,1.49,1.22,1.57,27.83,72.8,36.93,451.49,406.23,1787403719.78,448.35,9.6,1.5,5.95,0.74,1.61,Bug'doy
,0-20 sm,Gill,8.11,0.81,1.11,1.65,14.89,16.68,11.57,324.4,274.53,672566536.1,437.27,8.6,2.51,1.73,0.59,1.64,Bug'doy
,0-20 sm,Qum,6.85,1.73,1.03,1.51,23.23,43.03,21.82,407.72,403.58,554719975.18,379.64,10.73,1.87,1.92,0.93,1.55,Bug'doy
NTXM-147,20-40 sm,Gill,7.19,0.82,0.72,1.61,17.22,32.92,19.89,319.7,327.9,2929507587.65,444.03,11.37,1.29,1.88,0.83,1.93,Bug'doy
NMNT-139,0-20 sm,Loy,6.97,1.75,0.9,1.48,13.27,34.05,18.63,355.53,332.2,633195480.86,428.32,10.58,1.62,2.77,0.82,,Bug'doy
NTTM-108,0-20 sm,Gill,8.25,1.94,0.86,1.46,21.99,33.95,19.12,369.9,,978990984.32,392.51,7.54,1.31,2.73,0.51,2.43,Bug'doy
NMNX-17,20-40 sm,Qumoq,7.88,1.91,1.77,1.27,20.78,80.39,41.47,482.2,469.67,1867018750.06,381.05,10.63,0.74,2.62,0.61,1.58,Makkajo'xori
NMNX-138,0-20 sm,Qumoq,6.45,1.94,2.34,,28.3,93.34,46.05,497.78,454.77,,435.49,12.63,3.69,9.02,0.93,1.61,Makkajo'xori
NTXM-147,0-20 sm,Qumoq,7.46,0.84,2.68,1.34,11.71,73.8,37.75,480.74,,442016832.78,493.39,12.99,3.88,9.03,0.63,,Makkajo'xori
NMNX-139,0-20 sm,Qum,6.8,1.23,0.31,1.29,24.11,91.08,43.91,477.36,432.4,876352969.3,382.8,12.8,0.71,8.99,0.96,1,Makkajo'xori
NTXM-148,0-20 sm,Qumoq,8.11,0.5,0.3,1.41,15.91,44.7,24.71,435.57,388.5,51534125.22,444.96,8.4,2.03,8.8,0.65,0.99,Makkajo'xori
NMNT-140,20-40 sm,Qum,7.62,1.58,0.4,1.63,26.45,36.41,18.81,311.45,287.84,2467136767.13,428.86,11.93,3.26,8.93,1.19,0.93,Bug'doy
NTTM-109,0-20 sm,Loy,7.63,0.64,2.32,1.36,25.6,74.34,40.34,451.61,404.8,654995849.92,386.34,13.96,3.18,9.29,0.84,2,Makkajo'xori
NMNX-18,0-30,Loy,7.58,1.3,1.08,1.35,13.75,60.71,30.92,466.76,392.63,2603703293.77,436.06,9.13,3.72,1.15,0.72,2.02,Paxta
Karta-1/12,0-20 sm,Qum,7.55,1.68,1.27,1.61,26.36,22.41,15.52,298.45,279.56,388569848.15,419.22,8.65,2.19,1.13,0.74,2.06,Bug'doy
NTXM-143,0-20 sm,Qum,7.68,0.82,1.56,1.26,21.4,86.88,44.37,479.49,442.87,133074504.26,398.41,12.29,3.97,1.12,1.19,1.82,Makkajo'xori
soil-sampl/3,0-20 sm,Gill,7.55,1.45,0.41,1.37,24.99,48.79,27.42,386.45,385.04,133416010.31,401.55,11.28,1.65,9.01,0.7,1.84,Bug'doy
Karta-1/13,20-40 sm,Qum,7.63,2.13,0.52,1.65,27.01,13.83,9.66,338.21,322.09,319259296.61,457.09,7.46,3.73,9.25,0.47,1.83,Bug'doy
NTXM-144,0-20 sm,Loy,7.58,2,0.6,1.39,20.6,60.59,32.23,429.51,404.43,1274647289.45,418.15,13.12,0.83,9.64,0.89,1.38,Bug'doy
soil-sampl/4,0-20 sm,Yengil qum,8.23,0.33,1.63,1.25,27.83,86.46,43.33,481.62,430.87,2190540445.05,505.41,10.27,1.99,5.51,1.03,1.3,Makkajo'xori
Karta-1/14,0-20 sm,Loy,7.54,1.57,1.81,1.57,14.89,24.14,14.17,327.96,297.47,666341544.79,398.38,6.28,1.83,5.71,0.64,1.17,Bug'doy
