"Sample","Layer (cm)","Mechanical composition","pH","Humus (%)","Soil EC (mS/cm)","Soil density (g/cm³)","CF (%)","N (mg/kg)","P (mg/kg)","K (mg/kg)","Mg (mg/kg)","Microorganisms  (CFU/g)","S (mg/kg)","Fe (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","Cu (mg/kg)","B (mg/kg)","Crop"
"NMNX-133","0-20","Clay","7.89","1.73","4.81","1.61","13.27","32.21","17.96","392.99","368.65","307887329","64.22","8.84","2.13","7.4","0.42","2.98","Wheat"
"NTXM-142","","Clay","8.39","","3.66","1.46","21.99","42.17","24.41","391.23","","659116321.75","61.93","8.07","3.55","6.67","","1.74","Wheat"
"Karta-1/12","0-30","Sand","8.4","1.41","","1.27","42.05","74.76","43.48","501.72","","2957632138.19","53.5","10.34","3.25","8.03","0.53","2.48","Carrot"
"NTXM-143","0-20","Sand","","1.32","1.19","","39.76","","42.44","463.18","397.22","2534143521.82","","12.87","3.98","","1.02","2.55","Cotton"
"soil-sampl/3","0-20","Gill","7.87","1.94","1.97","1.46","","32.81","","348.25","351.65","396226636.41","36.19","9.57","1.79","4.91","0.55","2.28","Wheat"
"NTTM-104","0-30","Sand","6.78","","1.5","1.33","38.05","81.49","41.45","479.42","410.89","1964381722.42","53.22","13.44","2.91","4.79","","1.09","Corn"
"","20-40","","7.66","0.49","0.61","","39.64","86.42","44.46","535.49","486.65","2941556334.77","46.75","","1.45","5.11","0.61","1.09","Corn"
"NMNX-134","0-30","Loamy","","0.87","1.45","","","74.69","38.4","470.91","","998554753.32","48.69","13.47","3.53","4.8","0.94","1.05","Corn"
"NTXM-143","0-20","Sand","7.11","2.34","2.66","1.44","28.3","46.08","25.71","","392.68","650915213.95","43.05","11.26","2.35","6.85","1.06","1.96","Wheat"
"NMNX-135","0-20","Gill","8.9","1.69","4.95","1.62","11.71","12.65","9.2","339.2","314.03","830073484.84","","6.48","1.24","8.13","0.34","1.83","Wheat"
